id,country
16,Canada
17,Japan
20,Norway
27,Republic of Ireland
28,Hungary
29,Spain
30,United States of America
31,Belgium
32,Luxembourg
33,Finland
34,Sweden
35,Denmark
36,Poland
37,Lithuania
38,Italy
39,Switzerland
40,Austria
41,Greece
43,Turkey
45,Portugal
55,Netherlands
77,Uruguay
79,Egypt
96,Mexico
114,Kenya
115,Ethiopia
117,Ghana
142,France
145,United Kingdom
148,People's Republic of China
155,Brazil
159,Russia
183,Germany
184,Belarus
189,Iceland
191,Estonia
211,Latvia
212,Ukraine
213,Czech Republic
214,Slovakia
215,Slovenia
217,Moldova
218,Romania
219,Bulgaria
221,North Macedonia
222,Albania
223,Greenland
224,Croatia
225,Bosnia and Herzegovina
227,Azerbaijan
228,Andorra
229,Cyprus
230,Georgia
232,Kazakhstan
233,Malta
235,Monaco
236,Montenegro
238,San Marino
241,Cuba
242,Belize
244,Barbados
252,Indonesia
258,South Africa
262,Algeria
265,Uzbekistan
298,Chile
334,Singapore
347,Liechtenstein
398,Bahrain
399,Armenia
403,Serbia
408,Australia
414,Argentina
419,Peru
423,North Korea
424,Cambodia
574,East Timor
657,Chad
664,New Zealand
668,India
678,Tonga
683,Samoa
686,Vanuatu
691,Papua New Guinea
709,Marshall Islands
711,Mongolia
712,Fiji
717,Venezuela
730,Suriname
733,Paraguay
734,Guyana
736,Ecuador
739,Colombia
750,Bolivia
754,Trinidad and Tobago
757,Saint Vincent and the Grenadines
760,Saint Lucia
766,Jamaica
769,Grenada
774,Guatemala
778,The Bahamas
781,Antigua and Barbuda
783,Honduras
786,Dominican Republic
790,Haiti
792,El Salvador
794,Iran
796,Iraq
800,Costa Rica
801,Israel
804,Panama
805,Yemen
810,Jordan
811,Nicaragua
813,Kyrgyzstan
817,Kuwait
819,Laos
822,Lebanon
826,Maldives
833,Malaysia
836,Myanmar
837,Nepal
842,Oman
843,Pakistan
846,Qatar
851,Saudi Arabia
854,Sri Lanka
858,Syria
863,Tajikistan
865,Taiwan
869,Thailand
874,Turkmenistan
878,United Arab Emirates
881,Vietnam
884,South Korea
889,Afghanistan
902,Bangladesh
912,Mali
916,Angola
921,Brunei
924,Tanzania
928,Philippines
929,Central African Republic
945,Togo
948,Tunisia
953,Zambia
954,Zimbabwe
962,Benin
963,Botswana
965,Burkina Faso
967,Burundi
971,Republic of the Congo
974,Democratic Republic of the Congo
977,Djibouti
983,Equatorial Guinea
986,Eritrea
1000,Gabon
1005,The Gambia
1006,Guinea
1007,Guinea-Bissau
1008,Ivory Coast
1009,Cameroon
1011,Cape Verde
1013,Lesotho
1014,Liberia
1016,Libya
1019,Madagascar
1020,Malawi
1025,Mauritania
1027,Mauritius
1028,Morocco
1029,Mozambique
1030,Namibia
1032,Niger
1033,Nigeria
1036,Uganda
1037,Rwanda
1039,São Tomé and Príncipe
1041,Senegal
1042,Seychelles
1044,Sierra Leone
1045,Somalia
1049,Sudan
1050,Eswatini
1410,Gibraltar
4628,Faroe Islands
6250,Western Sahara
23681,Northern Cyprus
25279,Curaçao
26988,Cook Islands
34754,Somaliland
219060,State of Palestine
